Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,42,2013-01-23,34-153,LAL,@,MEM,L (-13),1,38:34,11,23,.478,0,1,.000,7,8,.875,0,3,3,3,1,0,2,1,29,18.5,-13
43,43,2013-01-25,34-155,LAL,,UTA,W (+18),1,34:44,7,10,.700,0,0,,0,0,,0,9,9,14,3,1,3,0,14,23.0,+15
44,44,2013-01-27,34-157,LAL,,OKC,W (+9),1,38:47,8,12,.667,0,0,,5,6,.833,0,9,9,14,1,1,3,1,21,26.2,+11
45,45,2013-01-29,34-159,LAL,,NOH,W (+5),1,34:23,5,12,.417,0,4,.000,4,4,1.000,3,5,8,11,0,0,2,1,14,16.5,-5
46,46,2013-01-30,34-160,LAL,@,PHO,L (-6),1,38:40,7,17,.412,0,3,.000,3,4,.750,0,5,5,9,2,0,6,0,17,11.3,-8
47,47,2013-02-01,34-162,LAL,@,MIN,W (+11),1,38:30,4,13,.308,1,4,.250,8,10,.800,2,10,12,8,0,0,4,2,17,13.9,-3
48,48,2013-02-03,34-164,LAL,@,DET,W (+1),1,37:05,8,20,.400,0,3,.000,2,3,.667,0,3,3,5,2,0,3,0,18,10.2,+1
49,49,2013-02-05,34-166,LAL,@,BRK,W (+9),1,37:16,9,24,.375,0,2,.000,3,3,1.000,1,7,8,4,4,1,5,1,21,12.7,+5
50,50,2013-02-07,34-168,LAL,@,BOS,L (-21),1,29:41,9,15,.600,0,1,.000,9,9,1.000,3,4,7,0,0,0,4,2,27,18.6,-20
51,51,2013-02-08,34-169,LAL,@,CHA,W (+7),1,37:33,6,15,.400,0,2,.000,8,8,1.000,0,7,7,8,0,1,3,0,20,17.3,-2
52,52,2013-02-10,34-171,LAL,@,MIA,L (-10),1,37:03,11,19,.579,0,0,,6,8,.750,1,5,6,9,1,0,4,2,28,23.0,-14
53,53,2013-02-12,34-173,LAL,,PHO,W (+6),1,35:46,1,8,.125,0,4,.000,2,2,1.000,1,4,5,9,1,1,8,1,4,0.3,-2
54,54,2013-02-14,34-175,LAL,,LAC,L (-24),1,38:39,7,13,.538,0,0,,6,6,1.000,3,2,5,11,0,0,6,2,20,17.3,-35
55,55,2013-02-20,34-181,LAL,,BOS,W (+14),1,32:49,5,15,.333,0,4,.000,6,7,.857,1,3,4,7,0,0,3,5,16,8.6,+11
56,56,2013-02-22,34-183,LAL,,POR,W (+4),1,35:51,15,23,.652,1,3,.333,9,9,1.000,2,5,7,4,2,0,5,1,40,32.2,+2
57,57,2013-02-24,34-185,LAL,@,DAL,W (+4),1,38:16,13,21,.619,4,5,.800,8,10,.800,1,11,12,7,0,1,5,2,38,31.5,+7
58,58,2013-02-25,34-186,LAL,@,DEN,L (-11),1,38:44,12,23,.522,0,1,.000,5,6,.833,0,6,6,9,0,0,4,3,29,20.2,-1
59,59,2013-02-28,34-189,LAL,,MIN,W (+22),1,31:33,13,22,.591,4,8,.500,3,7,.429,1,4,5,5,2,0,3,1,33,25.2,+17
60,60,2013-03-03,34-192,LAL,,ATL,W (+1),1,39:00,13,27,.481,2,5,.400,6,8,.750,1,5,6,4,2,0,5,1,34,21.1,+6
61,61,2013-03-05,34-194,LAL,@,OKC,L (-17),1,39:24,8,19,.421,3,7,.429,11,12,.917,1,2,3,2,0,0,2,3,30,19.0,-11
62,62,2013-03-06,34-195,LAL,@,NOH,W (+6),1,41:57,14,21,.667,3,7,.429,11,14,.786,0,7,7,12,0,1,6,0,42,36.9,+16
63,63,2013-03-08,34-197,LAL,,TOR,W (+2),1,43:47,11,22,.500,5,10,.500,14,16,.875,1,5,6,12,2,0,9,0,41,32.8,0
64,64,2013-03-10,34-199,LAL,,CHI,W (+9),1,39:35,7,16,.438,1,4,.250,4,6,.667,1,6,7,9,2,0,2,2,19,17.8,+16
65,65,2013-03-12,34-201,LAL,@,ORL,W (+9),1,36:27,4,14,.286,2,6,.333,1,2,.500,1,6,7,8,2,0,3,1,11,9.1,0
66,66,2013-03-13,34-202,LAL,@,ATL,L (-4),1,38:12,11,33,.333,2,8,.250,7,8,.875,1,6,7,5,2,0,5,1,31,14.5,-3
67,67,2013-03-15,34-204,LAL,@,IND,W (+6),1,12:00,0,4,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,1,0,-2.5,-3
70,68,2013-03-22,34-211,LAL,,WAS,L (-3),1,37:53,8,18,.444,1,2,.500,4,7,.571,1,3,4,11,2,0,6,3,21,14.5,+1
71,69,2013-03-25,34-214,LAL,@,GSW,L (-6),1,41:54,11,27,.407,2,10,.200,12,16,.750,1,7,8,3,0,0,0,1,36,24.4,-1
72,70,2013-03-27,34-216,LAL,@,MIN,W (+3),1,37:47,12,21,.571,3,7,.429,4,6,.667,0,3,3,7,1,1,6,4,31,20.2,+2
73,71,2013-03-28,34-217,LAL,@,MIL,L (-10),1,36:28,6,17,.353,0,3,.000,18,20,.900,0,2,2,3,0,0,6,2,30,15.6,-16
74,72,2013-03-30,34-219,LAL,@,SAC,W (+5),1,47:37,5,18,.278,0,4,.000,9,11,.818,1,8,9,14,2,0,1,2,19,20.7,+5
75,73,2013-04-02,34-222,LAL,,DAL,W (+20),1,47:04,8,18,.444,0,3,.000,7,8,.875,1,10,11,11,4,2,4,3,23,24.8,+20
76,74,2013-04-05,34-225,LAL,,MEM,W (+2),1,42:32,10,23,.435,0,5,.000,4,4,1.000,0,5,5,9,1,0,4,3,24,15.5,+6
77,75,2013-04-07,34-227,LAL,@,LAC,L (-14),1,47:20,6,19,.316,1,5,.200,12,14,.857,1,6,7,10,0,0,4,3,25,17.6,-14
78,76,2013-04-09,34-229,LAL,,NOH,W (+8),1,41:06,9,18,.500,2,7,.286,10,11,.909,1,5,6,6,5,1,5,2,30,26.9,+7
79,77,2013-04-10,34-230,LAL,@,POR,W (+7),1,48:00,14,27,.519,1,5,.200,18,18,1.000,0,8,8,5,3,4,1,4,47,42.8,+7
80,78,2013-04-12,34-232,LAL,,GSW,W (+2),1,44:54,9,21,.429,4,8,.500,12,16,.750,0,5,5,4,0,0,5,3,34,19.4,0
20,1,2013-12-08,35-107,LAL,,TOR,L (-12),1,27:56,2,9,.222,0,3,.000,5,7,.714,1,7,8,4,2,0,8,3,9,1.1,-16
21,2,2013-12-10,35-109,LAL,,PHO,L (-6),1,29:10,6,11,.545,0,2,.000,8,8,1.000,0,2,2,3,0,0,3,2,20,13.6,-3
22,3,2013-12-13,35-112,LAL,@,OKC,L (-25),1,23:09,2,6,.333,0,0,,0,0,,0,1,1,13,2,0,7,1,4,4.6,-16
23,4,2013-12-14,35-113,LAL,@,CHA,W (+3),1,32:14,8,15,.533,2,5,.400,3,3,1.000,0,7,7,8,0,0,7,1,21,14.0,+5
24,5,2013-12-16,35-115,LAL,@,ATL,L (-14),1,32:10,4,14,.286,0,5,.000,0,1,.000,0,3,3,6,2,0,5,1,8,1.1,-4
25,6,2013-12-17,35-116,LAL,@,MEM,W (+4),1,32:38,9,18,.500,1,1,1.000,2,2,1.000,1,4,5,4,1,1,4,1,21,14.0,+2
1,1,2014-10-28,36-066,LAL,,HOU,L (-18),1,29:00,6,17,.353,0,1,.000,7,8,.875,0,3,3,2,1,0,1,5,19,9.4,-11
2,2,2014-10-29,36-067,LAL,@,PHO,L (-20),1,27:53,11,25,.440,2,4,.500,7,7,1.000,1,3,4,3,2,0,2,2,31,20.8,-26
3,3,2014-10-31,36-069,LAL,,LAC,L (-7),1,35:16,6,15,.400,1,5,.200,8,11,.727,0,4,4,7,2,0,3,5,21,14.8,-9
4,4,2014-11-01,36-070,LAL,@,GSW,L (-23),1,35:53,12,28,.429,1,6,.167,3,6,.500,1,5,6,1,2,0,7,3,28,8.7,-30
5,5,2014-11-04,36-073,LAL,,PHO,L (-6),1,44:15,14,37,.378,3,7,.429,8,12,.667,3,6,9,1,1,1,3,0,39,20.4,-5
6,6,2014-11-09,36-078,LAL,,CHO,W (+15),1,34:17,7,20,.350,1,5,.200,6,7,.857,0,6,6,4,1,0,4,1,21,10.6,+7
7,7,2014-11-11,36-080,LAL,@,MEM,L (-5),1,37:29,10,26,.385,3,10,.300,5,6,.833,1,6,7,6,4,0,3,3,28,19.9,+8
8,8,2014-11-12,36-081,LAL,@,NOP,L (-7),1,36:12,10,28,.357,5,11,.455,8,8,1.000,0,4,4,5,1,0,1,1,33,21.7,-15
9,9,2014-11-14,36-083,LAL,,SAS,L (-13),1,36:25,1,14,.071,0,5,.000,7,9,.778,0,4,4,6,1,2,4,1,9,2.2,-16
10,10,2014-11-16,36-085,LAL,,GSW,L (-21),1,31:22,15,34,.441,3,12,.250,11,16,.688,1,4,5,3,0,0,2,3,44,25.0,-34
11,11,2014-11-18,36-087,LAL,@,ATL,W (+5),1,36:57,10,18,.556,3,7,.429,5,5,1.000,0,4,4,3,1,0,3,4,28,19.1,+11
12,12,2014-11-19,36-088,LAL,@,HOU,W (+6),1,39:32,10,28,.357,1,7,.143,8,10,.800,0,5,5,7,1,0,3,0,29,17.0,+9
13,13,2014-11-21,36-090,LAL,@,DAL,L (-34),1,31:20,6,22,.273,1,4,.250,4,4,1.000,2,3,5,7,1,0,2,2,17,9.4,-29
14,14,2014-11-23,36-092,LAL,,DEN,L (-7),1,43:50,10,24,.417,0,2,.000,7,10,.700,2,4,6,4,0,0,4,1,27,14.0,-5
15,15,2014-11-26,36-095,LAL,,MEM,L (-6),1,35:16,5,15,.333,2,5,.400,10,10,1.000,2,2,4,2,0,0,4,1,22,12.5,-1
16,16,2014-11-28,36-097,LAL,,MIN,L (-1),1,34:45,10,18,.556,0,1,.000,6,10,.600,1,4,5,5,5,0,2,1,26,23.8,+3
17,17,2014-11-30,36-099,LAL,,TOR,W (+7),1,41:36,11,24,.458,0,1,.000,9,13,.692,1,10,11,12,0,1,2,2,31,27.0,+2
18,18,2014-12-02,36-101,LAL,@,DET,W (+10),1,33:26,4,11,.364,1,3,.333,3,3,1.000,0,5,5,13,2,0,10,2,12,7.7,+15
19,19,2014-12-03,36-102,LAL,@,WAS,L (-16),1,34:11,8,22,.364,2,6,.333,11,14,.786,0,4,4,3,1,0,4,4,29,14.3,-30
20,20,2014-12-05,36-104,LAL,@,BOS,L (-17),1,32:42,9,21,.429,1,3,.333,3,3,1.000,0,3,3,3,1,0,3,1,22,11.5,-29
21,21,2014-12-07,36-106,LAL,,NOP,L (-17),1,31:59,6,18,.333,0,5,.000,2,2,1.000,0,3,3,4,0,0,3,2,14,3.7,-18
22,22,2014-12-09,36-108,LAL,,SAC,W (+3),1,35:50,11,27,.407,2,6,.333,8,8,1.000,3,0,3,6,2,0,3,2,32,22.0,-1
23,23,2014-12-12,36-111,LAL,@,SAS,W (+2),1,40:03,7,22,.318,1,4,.250,7,8,.875,1,4,5,9,4,0,5,1,22,15.8,-1
24,24,2014-12-14,36-113,LAL,@,MIN,W (+6),1,35:09,7,20,.350,2,7,.286,10,13,.769,1,5,6,2,1,0,2,2,26,15.4,0
25,25,2014-12-15,36-114,LAL,@,IND,L (-19),1,30:17,8,26,.308,2,8,.250,3,3,1.000,0,4,4,3,2,0,3,4,21,6.7,-26
26,26,2014-12-19,36-118,LAL,,OKC,L (-1),1,34:35,3,15,.200,0,3,.000,3,4,.750,0,8,8,8,0,0,3,0,9,4.3,-6
27,27,2014-12-21,36-120,LAL,@,SAC,L (-7),1,37:52,8,30,.267,3,8,.375,6,6,1.000,3,2,5,3,2,0,9,3,25,3.8,-17
31,28,2014-12-28,36-127,LAL,,PHO,L (-9),1,32:12,4,10,.400,1,3,.333,1,1,1.000,0,8,8,7,2,0,5,1,10,8.5,-8
32,29,2014-12-30,36-129,LAL,@,DEN,W (+8),1,31:40,6,11,.545,3,5,.600,8,11,.727,1,10,11,11,2,1,9,1,23,21.2,+12
33,30,2015-01-02,36-132,LAL,,MEM,L (-3),1,33:08,6,14,.429,2,4,.500,1,1,1.000,1,8,9,8,0,1,2,2,15,14.2,+5
34,31,2015-01-04,36-134,LAL,,IND,W (+1),1,32:08,7,14,.500,2,3,.667,4,4,1.000,0,6,6,6,3,0,2,2,20,19.2,-2
36,32,2015-01-07,36-137,LAL,@,LAC,L (-25),1,27:47,2,12,.167,0,3,.000,0,0,,0,8,8,7,1,0,6,1,4,-1.7,-34
39,33,2015-01-13,36-143,LAL,,MIA,L (-3),1,30:54,3,19,.158,2,9,.222,4,4,1.000,0,6,6,7,1,0,2,0,12,5.6,-6
40,34,2015-01-15,36-145,LAL,,CLE,L (-7),1,31:49,7,14,.500,3,6,.500,2,3,.667,1,5,6,17,0,0,3,0,19,22.7,+3
43,35,2015-01-21,36-151,LAL,@,NOP,L (-16),1,29:52,6,14,.429,1,5,.200,1,1,1.000,0,7,7,2,0,1,4,2,14,6.0,-11
1,1,2015-10-28,37-066,LAL,,MIN,L (-1),1,28:56,8,24,.333,3,13,.231,5,5,1.000,0,4,4,1,2,0,0,1,24,13.9,-6
2,2,2015-10-30,37-068,LAL,@,SAC,L (-18),1,22:12,5,12,.417,1,8,.125,2,3,.667,2,2,4,3,0,0,3,2,13,6.5,-18
3,3,2015-11-01,37-070,LAL,,DAL,L (-10),1,31:21,3,15,.200,2,8,.250,7,7,1.000,2,3,5,1,0,0,1,5,15,5.7,-2
4,4,2015-11-03,37-072,LAL,,DEN,L (-11),1,29:10,4,11,.364,1,5,.200,2,3,.667,1,1,2,5,2,0,1,5,11,8.0,-4
5,5,2015-11-06,37-075,LAL,@,BRK,W (+6),1,31:02,5,16,.313,1,4,.250,7,8,.875,0,3,3,3,0,0,3,3,18,7.2,-6
6,6,2015-11-08,37-077,LAL,@,NYK,L (-4),1,32:05,6,19,.316,2,10,.200,4,7,.571,0,2,2,3,1,0,1,2,18,7.8,-1
9,7,2015-11-13,37-082,LAL,@,DAL,L (-8),1,32:25,7,15,.467,3,8,.375,2,2,1.000,0,5,5,3,0,0,6,2,19,8.1,+5
10,8,2015-11-15,37-084,LAL,,DET,W (+12),1,35:43,6,19,.316,1,4,.250,4,4,1.000,0,8,8,9,2,0,4,3,17,11.6,+14
12,9,2015-11-20,37-089,LAL,,TOR,L (-11),1,37:04,5,13,.385,0,5,.000,0,0,,0,4,4,5,2,0,3,2,10,5.8,-1
13,10,2015-11-22,37-091,LAL,,POR,L (-14),1,31:23,6,22,.273,0,5,.000,6,7,.857,1,3,4,4,1,1,0,1,18,10.3,-6
14,11,2015-11-24,37-093,LAL,@,GSW,L (-34),1,24:41,1,14,.071,1,7,.143,1,2,.500,0,6,6,2,2,0,3,0,4,-3.6,-20
15,12,2015-11-28,37-097,LAL,@,POR,L (-12),1,34:08,7,20,.350,1,5,.200,6,7,.857,0,2,2,2,0,0,1,1,21,10.0,-12
16,13,2015-11-29,37-098,LAL,,IND,L (-4),1,33:29,4,20,.200,2,7,.286,3,4,.750,1,3,4,3,1,0,1,1,13,3.5,-6
17,14,2015-12-01,37-100,LAL,@,PHI,L (-12),1,31:42,7,26,.269,4,17,.235,2,4,.500,1,4,5,2,1,0,3,3,20,3.9,-21
18,15,2015-12-02,37-101,LAL,@,WAS,W (+4),1,35:34,10,24,.417,4,11,.364,7,8,.875,0,2,2,3,1,0,2,1,31,19.1,-5
19,16,2015-12-04,37-103,LAL,@,ATL,L (-13),1,35:20,4,19,.211,2,10,.200,4,5,.800,0,3,3,5,2,2,2,2,14,6.9,-15
20,17,2015-12-06,37-105,LAL,@,DET,L (-20),1,25:35,2,15,.133,1,6,.167,0,0,,0,3,3,1,1,0,3,2,5,-5.9,-22
21,18,2015-12-07,37-106,LAL,@,TOR,L (-9),1,31:49,8,16,.500,1,4,.250,4,5,.800,0,8,8,4,2,0,4,3,21,14.6,-11
22,19,2015-12-09,37-108,LAL,@,MIN,L (-1),1,24:30,5,13,.385,1,2,.500,0,0,,0,1,1,1,1,0,2,2,11,3.1,-12
23,20,2015-12-11,37-110,LAL,@,SAS,L (-22),1,28:59,5,12,.417,1,5,.200,1,2,.500,1,5,6,4,0,0,2,1,12,7.8,-18
24,21,2015-12-12,37-111,LAL,@,HOU,L (-29),1,31:09,9,16,.563,4,9,.444,3,3,1.000,2,5,7,6,3,0,0,0,25,27.5,+3
25,22,2015-12-15,37-114,LAL,,MIL,W (+18),1,27:26,7,15,.467,3,7,.429,5,5,1.000,0,3,3,6,0,0,2,2,22,16.6,+20
26,23,2015-12-17,37-116,LAL,,HOU,L (-20),1,32:02,9,16,.563,2,6,.333,2,7,.286,1,7,8,3,0,1,2,2,22,15.2,-24
28,24,2015-12-22,37-121,LAL,@,DEN,W (+4),1,32:11,10,22,.455,2,9,.222,9,11,.818,1,2,3,5,1,1,1,2,31,23.5,+11
